source_name,cbs_name,match_type
Nicholls St.,Nicholls,fuzzy
Norfolk St.,Norfolk St.,exact
North Alabama,South Alabama,fuzzy
North Carolina,N. Carolina,fuzzy
North Carolina A&T,N. Carolina,fuzzy
North Carolina Central,NC Central,fuzzy
North Dakota,North Dakota,exact
North Dakota St.,North Dakota,fuzzy
North Florida,North Florida,exact
North Texas,North Texas,exact
Northeastern,Northeastern,exact
Northern Arizona,N. Arizona,fuzzy
Northern Colorado,N. Colorado,fuzzy
Northern Illinois,N. Illinois,fuzzy
Northern Iowa,Northwestern,fuzzy
Northern Kentucky,N. Kentucky,fuzzy
Northwestern,Northwestern,exact
Northwestern St.,Northwestern St.,exact
Notre Dame,Notre Dame,exact
Oakland,Oakland,exact
Ohio,Ohio,exact
Ohio St.,Ohio St.,exact
Oklahoma,Oklahoma,exact
Oklahoma St.,Oklahoma,fuzzy
Old Dominion,Old Dominion,exact
Oral Roberts,Oral Roberts,exact
Oregon,Oregon,exact
Oregon St.,Oregon St.,exact
Pacific,Pacific,exact
Penn,Penn,exact
Penn St.,Penn St.,exact
Pepperdine,Pepperdine,exact
Pittsburgh,Pittsburgh,exact
Portland,Portland,exact
Portland St.,Portland St.,exact
Prairie View A&M,Prairie View,fuzzy
Presbyterian,Presbyterian,exact
Princeton,Princeton,exact
Providence,Providence,exact
Purdue,Purdue,exact
Purdue Fort Wayne,,unmatched
Queens,Queens,exact
Quinnipiac,Quinnipiac,exact
Radford,Radford,exact
Rhode Island,Rhode Island,exact
Rice,Rice,exact
Richmond,Richmond,exact
Rider,Rider,exact
Robert Morris,Robert Morris,exact
Rutgers,Rutgers,exact
SIU Edwardsville,Evansville,fuzzy
SMU,SMU,exact
Sacramento St.,Sacramento St.,exact
Sacred Heart,Sacred Heart,exact
Saint Francis,Saint Francis,exact
Saint Joseph's,Saint Joseph's,exact
Saint Louis,Saint Louis,exact
Saint Mary's,Saint Mary's,exact
Saint Peter's,Saint Peter's,exact
Sam Houston St.,Sam Houston,fuzzy
Samford,Samford,exact
San Diego,San Diego,exact
San Diego St.,San Diego St.,exact
San Francisco,Saint Francis,fuzzy
