team_id,cbs_name,kenpom_rank,adj_em,adj_o,adj_d,as_of_date,source,schema_version
Drexel,Drexel,200,-2.6,102.60858643941361,105.21000417653352,2026-03-04,barttorvik,1.0
Columbia,Columbia,201,-2.81,107.75156641474209,110.56407540625594,2026-03-04,barttorvik,1.0
Furman,Furman,202,-2.76,105.6989229273226,108.46261981182417,2026-03-04,barttorvik,1.0
Towson,Towson,203,-2.68,102.42991292505853,105.11299307460372,2026-03-04,barttorvik,1.0
Marshall,Marshall,204,-3.29,112.89560558359253,116.18971542760876,2026-03-04,barttorvik,1.0
Cal St. Fullerton,CS Fullerton,205,-3.18,108.51936360581553,111.69955668563975,2026-03-04,barttorvik,1.0
La Salle,La Salle,206,-3.09,103.56959052579722,106.65491947272784,2026-03-04,barttorvik,1.0
Indiana St.,Indiana St.,207,-3.22,106.14847426712117,109.36571725407123,2026-03-04,barttorvik,1.0
Siena,Siena,208,-3.28,107.23460637921121,110.5192706735933,2026-03-04,barttorvik,1.0
Detroit Mercy,Detroit,209,-3.35,109.37457649403275,112.72923899604413,2026-03-04,barttorvik,1.0
James Madison,James Madison,210,-3.52,108.79652208932609,112.31247128012602,2026-03-04,barttorvik,1.0
Queens,Queens,211,-3.77,114.45939088868253,118.2314641692011,2026-03-04,barttorvik,1.0
Tarleton St.,Tarleton St.,212,-3.43,103.67168382230308,107.10204004339502,2026-03-04,barttorvik,1.0
Bethune Cookman,Bethune-Cook.,213,-3.79,103.98512546662235,107.7796440410677,2026-03-04,barttorvik,1.0
Buffalo,Buffalo,214,-4.15,111.5301530709537,115.6798576267652,2026-03-04,barttorvik,1.0
Quinnipiac,Quinnipiac,215,-4.06,103.46829129883497,107.52822833422445,2026-03-04,barttorvik,1.0
Rice,Rice,216,-4.32,109.24609971568066,113.57056724776628,2026-03-04,barttorvik,1.0
South Dakota St.,South Dakota,217,-4.4,107.3662507492779,111.761681438379,2026-03-04,barttorvik,1.0
Lipscomb,Lipscomb,218,-4.47,106.09687189666263,110.56707374678125,2026-03-04,barttorvik,1.0
San Diego,San Diego,219,-4.61,108.52039672716215,113.13328233281204,2026-03-04,barttorvik,1.0
San Jose St.,San Jose St.,220,-4.81,111.04947141445169,115.86197503837639,2026-03-04,barttorvik,1.0
Coastal Carolina,East Carolina,221,-4.47,102.20585605122776,106.67513597100282,2026-03-04,barttorvik,1.0
Stony Brook,Stony Brook,222,-4.61,104.9306636954272,109.53887159029902,2026-03-04,barttorvik,1.0
Western Carolina,East Carolina,223,-4.92,110.2707574889503,115.19523914602885,2026-03-04,barttorvik,1.0
Drake,Drake,224,-5.01,109.11976961813617,114.12718572797367,2026-03-04,barttorvik,1.0
Cal Poly,Cal Poly,225,-5.0,108.45404334934906,113.45478789053368,2026-03-04,barttorvik,1.0
Denver,Denver,226,-5.41,115.68694331240651,121.09686217169292,2026-03-04,barttorvik,1.0
Ohio,Ohio,227,-5.08,107.32264619017118,112.40493738524884,2026-03-04,barttorvik,1.0
Texas St.,Texas St.,228,-5.13,104.24033292246236,109.36590953785958,2026-03-04,barttorvik,1.0
Saint Peter's,Saint Peter's,229,-5.46,103.87213944587938,109.32768430312659,2026-03-04,barttorvik,1.0
LIU,LIU,230,-5.59,103.35830699124867,108.94491693067084,2026-03-04,barttorvik,1.0
Southern Miss,Southern U.,231,-5.58,102.73965440497997,108.31495769622228,2026-03-04,barttorvik,1.0
Eastern Michigan,E. Michigan,232,-5.7,101.86684187211691,107.5687508236649,2026-03-04,barttorvik,1.0
Old Dominion,Old Dominion,233,-5.96,106.11427284093696,112.07117187868317,2026-03-04,barttorvik,1.0
Central Michigan,C. Michigan,234,-6.04,106.5251378277539,112.56217024155737,2026-03-04,barttorvik,1.0
Tennessee St.,Tennessee St.,235,-6.1,107.28331418944113,113.37930294292744,2026-03-04,barttorvik,1.0
Nebraska Omaha,Nebraska,236,-6.13,107.03979830388451,113.1670762960907,2026-03-04,barttorvik,1.0
Samford,Samford,237,-6.2,107.59728175808462,113.79703887886694,2026-03-04,barttorvik,1.0
Abilene Christian,Abilene Chr.,238,-5.93,101.02627013163463,106.95645281495604,2026-03-04,barttorvik,1.0
Louisiana Tech,Louisiana,239,-5.99,100.3526783539001,106.3389205730582,2026-03-04,barttorvik,1.0
Iona,Iona,240,-6.2,103.32802382738492,109.52853249782011,2026-03-04,barttorvik,1.0
Radford,Radford,241,-6.57,106.50330729076262,113.07150338469367,2026-03-04,barttorvik,1.0
Princeton,Princeton,242,-6.65,106.23361948126671,112.887241133098,2026-03-04,barttorvik,1.0
Boston University,Boston U.,243,-7.1,111.54259651508133,118.6447372704948,2026-03-04,barttorvik,1.0
American,American,244,-6.88,104.98295949708967,111.85880528984845,2026-03-04,barttorvik,1.0
Nicholls St.,Nicholls,245,-7.05,105.37811327028044,112.42964086404764,2026-03-04,barttorvik,1.0
Southeast Missouri St.,SE Missouri St.,246,-6.82,101.78245568259773,108.60442238309979,2026-03-04,barttorvik,1.0
Lamar,Lamar,247,-6.91,103.11695420755416,110.03114456650597,2026-03-04,barttorvik,1.0
